2026-06-09 14:05:40,080 | INFO | Extracting AAPL...
2026-06-09 14:05:44,674 | INFO | AAPL: 500 rows extracted
2026-06-09 14:05:44,675 | INFO | Extracting GOOGL...
2026-06-09 14:05:44,773 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:05:44,773 | INFO | Extracting META...
2026-06-09 14:05:44,861 | INFO | META: 500 rows extracted
2026-06-09 14:05:44,861 | INFO | Extracting MSFT...
2026-06-09 14:05:44,979 | INFO | MSFT: 500 rows extracted
2026-06-09 14:05:44,980 | INFO | Extracting AMZN...
2026-06-09 14:05:45,066 | INFO | AMZN: 500 rows extracted
2026-06-09 14:05:45,066 | INFO | Extracting NVDA...
2026-06-09 14:05:45,175 | INFO | NVDA: 500 rows extracted
2026-06-09 14:05:45,177 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:13:12,836 | INFO | Extracting AAPL...
2026-06-09 14:13:13,505 | INFO | AAPL: 500 rows extracted
2026-06-09 14:13:13,505 | INFO | Extracting GOOGL...
2026-06-09 14:13:13,597 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:13:13,598 | INFO | Extracting META...
2026-06-09 14:13:13,685 | INFO | META: 500 rows extracted
2026-06-09 14:13:13,685 | INFO | Extracting MSFT...
2026-06-09 14:13:13,794 | INFO | MSFT: 500 rows extracted
2026-06-09 14:13:13,794 | INFO | Extracting AMZN...
2026-06-09 14:13:13,876 | INFO | AMZN: 500 rows extracted
2026-06-09 14:13:13,876 | INFO | Extracting NVDA...
2026-06-09 14:13:13,983 | INFO | NVDA: 500 rows extracted
2026-06-09 14:13:13,985 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:13:13,985 | INFO | Starting transform...
2026-06-09 14:13:14,036 | ERROR | Validation failed: column 'Date' not in dataframe. Columns in dataframe: ['date', 'open', 'high', 'low', 'close', 'volume', 'ticker']
2026-06-09 14:16:53,663 | INFO | Extracting AAPL...
2026-06-09 14:16:56,285 | INFO | AAPL: 500 rows extracted
2026-06-09 14:16:56,285 | INFO | Extracting GOOGL...
2026-06-09 14:16:56,364 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:16:56,365 | INFO | Extracting META...
2026-06-09 14:16:56,604 | INFO | META: 500 rows extracted
2026-06-09 14:16:56,604 | INFO | Extracting MSFT...
2026-06-09 14:16:56,712 | INFO | MSFT: 500 rows extracted
2026-06-09 14:16:56,713 | INFO | Extracting AMZN...
2026-06-09 14:16:56,788 | INFO | AMZN: 500 rows extracted
2026-06-09 14:16:56,789 | INFO | Extracting NVDA...
2026-06-09 14:16:56,876 | INFO | NVDA: 500 rows extracted
2026-06-09 14:16:56,877 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:16:56,877 | INFO | Starting transform...
2026-06-09 14:16:56,907 | ERROR | Validation failed: column 'Date' not in dataframe. Columns in dataframe: ['date', 'open', 'high', 'low', 'close', 'volume', 'ticker']
2026-06-09 14:17:37,122 | INFO | Extracting AAPL...
2026-06-09 14:17:37,906 | INFO | AAPL: 500 rows extracted
2026-06-09 14:17:37,906 | INFO | Extracting GOOGL...
2026-06-09 14:17:37,986 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:17:37,987 | INFO | Extracting META...
2026-06-09 14:17:38,065 | INFO | META: 500 rows extracted
2026-06-09 14:17:38,066 | INFO | Extracting MSFT...
2026-06-09 14:17:38,167 | INFO | MSFT: 500 rows extracted
2026-06-09 14:17:38,167 | INFO | Extracting AMZN...
2026-06-09 14:17:38,242 | INFO | AMZN: 500 rows extracted
2026-06-09 14:17:38,242 | INFO | Extracting NVDA...
2026-06-09 14:17:38,360 | INFO | NVDA: 500 rows extracted
2026-06-09 14:17:38,361 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:17:38,361 | INFO | Starting transform...
2026-06-09 14:17:38,400 | INFO | Data validation passed
2026-06-09 14:17:38,408 | INFO | AAPL:indicators added
2026-06-09 14:17:38,415 | INFO | GOOGL:indicators added
2026-06-09 14:17:38,423 | INFO | META:indicators added
2026-06-09 14:17:38,429 | INFO | MSFT:indicators added
2026-06-09 14:17:38,438 | INFO | AMZN:indicators added
2026-06-09 14:17:38,445 | INFO | NVDA:indicators added
2026-06-09 14:17:38,448 | INFO | Dropped 187 rows with NaN
2026-06-09 14:17:38,448 | INFO | Transform complete: 2813 rows, 18 columns
2026-06-09 14:22:37,187 | INFO | Extracting AAPL...
2026-06-09 14:22:38,171 | INFO | AAPL: 500 rows extracted
2026-06-09 14:22:38,171 | INFO | Extracting GOOGL...
2026-06-09 14:22:38,249 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:22:38,250 | INFO | Extracting META...
2026-06-09 14:22:38,331 | INFO | META: 500 rows extracted
2026-06-09 14:22:38,331 | INFO | Extracting MSFT...
2026-06-09 14:22:38,448 | INFO | MSFT: 500 rows extracted
2026-06-09 14:22:38,448 | INFO | Extracting AMZN...
2026-06-09 14:22:38,516 | INFO | AMZN: 500 rows extracted
2026-06-09 14:22:38,516 | INFO | Extracting NVDA...
2026-06-09 14:22:38,615 | INFO | NVDA: 500 rows extracted
2026-06-09 14:22:38,616 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:22:38,617 | INFO | Starting transform...
2026-06-09 14:22:38,662 | INFO | Data validation passed
2026-06-09 14:22:38,669 | INFO | AAPL:indicators added
2026-06-09 14:22:38,675 | INFO | GOOGL:indicators added
2026-06-09 14:22:38,683 | INFO | META:indicators added
2026-06-09 14:22:38,690 | INFO | MSFT:indicators added
2026-06-09 14:22:38,696 | INFO | AMZN:indicators added
2026-06-09 14:22:38,703 | INFO | NVDA:indicators added
2026-06-09 14:22:38,707 | INFO | Dropped 187 rows with NaN
2026-06-09 14:22:38,707 | INFO | Transform complete: 2813 rows, 18 columns
2026-06-09 14:22:38,734 | INFO | AAPL: latest in DB = 2026-05-29 00:00:00.000000, new rows = 6
2026-06-09 14:24:03,964 | INFO | Extracting AAPL...
2026-06-09 14:24:04,577 | INFO | AAPL: 500 rows extracted
2026-06-09 14:24:04,577 | INFO | Extracting GOOGL...
2026-06-09 14:24:04,648 | INFO | GOOGL: 500 rows extracted
2026-06-09 14:24:04,648 | INFO | Extracting META...
2026-06-09 14:24:04,877 | INFO | META: 500 rows extracted
